id,ra_deg,dec_deg,V_mag,B_mag
online_0,144.44841209,43.82462998,16.611987597143063,18.055157178493847
online_1,144.37467925,43.8247794,13.886085871933469,14.566637173969252
online_2,144.42440119,43.83400204,17.56315097843319,18.49056436549583
online_3,144.42181,43.82413549,10.94771155044632,11.912655840259582
online_4,144.45078765,43.83766896,16.323734431632232,17.05797959701931
online_5,144.42518612,43.85708252,16.820612722460936,17.358695589355484
online_6,144.39691744,43.84442832,15.199117635217544,16.107289790513136
online_7,144.43263507,43.8568693,14.96467337797165,15.675978814220452
online_8,144.28279792,43.82979406,16.77193178470688,17.58752221160512
online_9,144.28851928,43.82971712,17.23149224317791,18.65724745651365
online_10,144.26787936,43.82607035,17.837684790869265,18.785641479607605
online_11,144.22529954,43.829716,12.919025271079255,13.579207739261697
online_12,144.25196342,43.82012164,16.963917453705566,18.54566736552981
online_13,144.24048518,43.86885313,17.85698748343457,19.131196681362418
online_14,144.31757489,43.8464252,16.61138060135144,17.22557846131531
online_15,144.31785651,43.87316325,13.96975886030345,14.713215571799015
online_16,144.34716265,43.89221533,15.357470570310715,16.84779710733696
online_17,144.38539166,43.89344108,10.267802155361816,10.85866542116455
online_18,144.4090275,43.93641929,17.449493429068756,18.748433529514315
online_19,144.31344605,43.88441807,17.050279710324087,17.801814571091164
online_20,144.35273998,43.94443429,16.60338803845813,18.222406969275617
online_21,144.35529625,43.94313049,12.888221036812972,13.85925002637298
online_22,144.32168568,43.94408184,11.927669675578187,12.865947574950264
online_23,144.60130331,43.91481701,16.08585513915558,17.74238671137239
online_24,144.56381022,43.92303196,16.470945079873168,18.011573272686224
online_25,144.59454819,43.95305524,17.90244808934613,19.43625184499608
online_26,144.57488857,43.98334738,17.915369018494385,19.55658691737917
online_27,144.58038614,43.97049799,17.809753514154174,18.550905049157155
online_28,144.58330796,44.02952558,17.519443844734983,19.061438454126765
online_29,144.59013092,44.0262881,15.699983939398836,16.346649820185707
online_30,144.62644814,44.02872599,15.884853800919219,16.491255938151557
online_31,144.6676913,44.04089518,17.377698490966218,18.098162815583656
online_32,144.61758745,44.05625528,14.858661361453123,15.409867795859464
online_33,144.65386798,44.08614905,16.888121559764098,17.79869430941013
online_34,144.65196917,44.07696346,14.483189064340102,15.042071515920803
online_35,144.4440734,43.94424729,16.958756200095944,17.536350736666424
online_36,144.45287816,43.99043576,17.84633583727542,18.447182407493546
online_37,144.48436555,43.98246643,17.338468264996063,17.72389958476242
online_38,144.40691881,43.9701932,17.601997928653077,18.99177491956421
online_39,144.43159206,44.0437756,17.172621110265688,17.712888572228128
online_40,144.56112934,44.03518126,16.070949247591596,16.566719872147335
online_41,144.61503457,44.07331543,15.200615288247178,15.891389668561027
online_42,144.62969071,44.08936295,17.859498484481232,19.239987299455116
online_43,144.586833,44.08998292,17.172976986817133,17.81739266292398
online_44,144.62069883,44.14533852,17.50299217979431,18.795413174057103
online_45,144.60371912,44.12622135,12.223539358485596,13.089914674771736
online_46,144.53302639,44.07895277,16.23147362224147,17.71368592228803
online_47,144.60918639,44.15065936,17.598854198184203,19.255384441055376
online_48,144.5989369,44.15057892,11.754091327413757,12.647886995905502
online_49,144.55058512,44.14215278,17.458818459201478,18.502264788474438
online_50,144.57323892,44.17045988,17.224428002429196,18.38186575018335
online_51,144.18641917,43.87309002,17.606403025404784,18.409101913283813
online_52,144.18003712,43.8831663,17.994082195193204,18.883096833343462
online_53,144.20894646,43.86376403,17.66762227624585,18.360672267415794
online_54,144.20228153,43.92886101,17.45435043210193,19.11506430812442
online_55,144.10087306,43.91515797,15.184456191230439,16.385195508326888
online_56,144.12778141,43.94392865,17.744343210931824,19.41343342682587
online_57,144.27485284,43.96887048,16.89377690626141,17.644157210065824
online_58,144.29980764,43.97205157,12.032373612288668,13.126833907741549
online_59,144.35565834,44.00196389,16.974528243144043,17.63583981555421
online_60,144.29023366,43.98577564,16.098499308957184,17.47103921279924
online_61,144.30725288,44.00224823,16.517390854563875,18.133639641443025
online_62,144.29856029,44.04245064,17.62898779550732,19.072157376858105
online_63,144.07970918,43.92448722,17.64841619585437,19.231541295880746
online_64,144.07398149,43.92984565,15.676297174181336,16.434771943769235
online_65,144.09394733,43.92491531,14.651366558510102,15.738325533775514
online_66,144.05108283,43.96417179,16.63739750658111,18.245349204689337
online_67,144.12787413,43.95674615,17.369998231247067,18.76243309684098
online_68,144.15587865,44.0186245,17.010504198739444,17.520322124140385
online_69,144.12308568,44.0049037,16.99309235126495,17.67591105213187
online_70,144.11338745,44.01046613,13.908220788815262,14.475896585558662
online_71,144.12406253,44.00721935,15.40138604742737,16.5083746302643
online_72,144.02464069,43.99334756,17.04181731496594,17.505384896111497
online_73,144.08771882,44.0297527,12.522725706945236,12.964994298248826
online_74,144.09230661,44.03712434,16.51073005134582,17.48784865608237
online_75,144.1153356,44.08695017,15.082495315033235,16.389271421341128
online_76,144.22095274,44.06614181,16.845746815545777,17.584595616173758
online_77,144.21280071,44.043036,14.64287064774707,15.119283563364297
online_78,144.22138529,44.06672321,11.345705996052551,11.586351644111637
online_79,144.1852769,44.07560317,15.24351459354068,15.900313917152253
online_80,144.25166815,44.06888086,17.55397281306134,18.789377437998354
online_81,144.14292436,44.12912538,13.031079211012694,13.709360130141722
online_82,144.20949721,44.14967645,16.685903043811038,18.286946665100114
online_83,144.24862692,44.14945126,14.39584526377086,15.174044206897202
online_84,144.19859528,44.14804088,15.878598217632263,16.775983757154336
online_85,144.21092254,44.1532713,16.984494758364743,18.28604634657968
online_86,144.35261349,44.02514665,17.920198709549897,18.876641546655172
online_87,144.36892119,44.02122027,11.345637188080717,11.890274746808105
online_88,144.36485464,44.06034596,17.92517306194763,18.479665858017107
online_89,144.42269904,44.09461705,17.77525791066821,18.224964998697686
online_90,144.4155223,44.12679314,16.33049675607852,17.645120966340638
online_91,144.43358391,44.14331118,16.49476506145019,17.496337757934814
online_92,144.43953035,44.12761877,13.779963044301331,14.609662720897541
online_93,144.33908288,44.12930324,16.253134478792315,17.170917074320755
online_94,144.4579702,44.16047223,12.549392541717406,13.031170596777976
online_95,144.48050389,44.17848553,17.47648480788693,18.929053110774564
online_96,144.58128628,44.20999494,17.666676955181398,18.222267968563266
online_97,144.57757573,44.21512868,15.185471043948365,16.01870615400696
online_98,144.43226144,44.16844386,13.916504808865938,14.426321701643541
online_99,144.44013544,44.15880472,15.970778408367188,16.55500126050785
online_100,144.44562367,44.19384828,14.624984130133699,15.27165001092057
online_101,144.46132284,44.1746525,12.395557437854738,13.271450254842534
online_102,144.48672514,44.2154368,17.470896302633175,18.589187394481925
online_103,144.48325032,44.21905319,8.312000159663118,9.667361022910924
online_104,144.50630254,44.20917014,17.700975333706666,19.179136339736942
online_105,144.50112755,44.282214,17.806997735810423,18.45816484414747
online_106,144.52201141,44.27176207,12.460677587372924,13.403791616303103
online_107,144.31091692,44.15626749,16.035250151634216,16.77525125026718
online_108,144.35547634,44.18189389,12.85797472006572,13.360220390587097
online_109,144.37877358,44.18968721,17.30040326954541,18.103102157424438
online_110,144.28340037,44.17696759,17.863812240600588,18.902312240600587
online_111,144.29703437,44.20996959,17.883470115795255,19.373797943394766
online_112,144.28092047,44.20124681,16.459493106259487,17.879902852627584
online_113,144.27851782,44.2404759,15.763225161378815,16.736689686787305
online_114,144.27907368,44.24063274,15.434381312151459,16.536355025883694
online_115,144.31382265,44.23356691,15.960865508856992,17.046577425157963
online_116,144.33353854,44.22882377,14.186261645961427,14.930871999587417
online_117,144.30999878,44.26163564,17.028870863899414,18.668699470395513
online_118,144.31692159,44.24942107,13.926589243033602,14.81918857986832
online_119,144.44319479,44.27138123,13.01241381794452,13.819795631337637
online_120,144.3861704,44.24119186,16.255681110547,17.201215219964
online_121,144.42968891,44.30064711,14.921921869687926,15.732819963794974
online_122,144.43687636,44.29902235,15.893854105816528,16.500257303870242
online_123,144.08185094,44.08943713,17.320735734809297,17.765128076089333
online_124,144.08465152,44.0951054,13.23124414508281,13.805530112181335
online_125,144.10457962,44.09899424,16.196522002545215,16.85557677865349
online_126,144.07322432,44.12481255,17.57747050218152,18.078635472057574
online_127,144.03826441,44.1245114,14.539236457381563,15.111318040425267
online_128,144.0452165,44.1663126,16.0338546152832,17.109584294189702
online_129,144.09628034,44.12981062,17.192335547858153,17.79317999963765
online_130,144.11550342,44.1407166,14.489312095642092,14.95181209564209
online_131,144.13941914,44.15484052,15.31125286135257,16.3042500505355
online_132,144.1189754,44.17455323,15.260724670985901,15.829502722545516
online_133,144.21618896,44.198531,17.500133631629943,18.043679465675453
online_134,144.1578114,44.20873536,17.386190653719755,18.337780265506318
online_135,144.13656348,44.19695339,16.06774693761609,16.80659573824407
online_136,144.09200014,44.17960676,15.547902555529786,17.148946176818864
online_137,144.09818248,44.22185023,17.403410191743188,18.538080246971386
online_138,144.15513794,44.24741299,13.559567116358949,14.440226179908755
online_139,144.23788257,44.2858393,17.629085422455322,18.309635642520753
online_140,144.29345255,44.28548963,15.567860246137208,17.218817901662625
online_141,144.29614681,44.28375784,10.54749100143207,11.39016834500337
online_142,144.68393685,44.09283017,17.631480220734375,18.46943319652346
online_143,144.65151056,44.17087472,17.88869694293048,18.84392712625051
online_144,144.65871085,44.16186052,13.892065928997987,14.565814441609856
